Các điểm E(-1, 188):
k=149, lambda=329, x3=161, y3=578, kP=(161, 578)
k=150, lambda=612, x3=382, y3=101, kP=(382, 101)
k=151, lambda=26, x3=291, y3=12, kP=(291, 12)
k=152, lambda=339, x3=475, y3=696, kP=(475, 696)
k=153, lambda=11, x3=394, y3=195, kP=(394, 195)
k=154, lambda=448, x3=541, y3=37, kP=(541, 37)
k=155, lambda=222, x3=676, y3=33, kP=(676, 33)
k=156, lambda=510, x3=326, y3=480, kP=(326, 480)
k=157, lambda=599, x3=245, y3=726, kP=(245, 726)
k=158, lambda=605, x3=40, y3=135, kP=(40, 135)
k=159, lambda=592, x3=455, y3=513, kP=(455, 513)
k=160, lambda=252, x3=713, y3=559, kP=(713, 559)
k=161, lambda=298, x3=221, y3=363, kP=(221, 363)
k=162, lambda=322, x3=573, y3=445, kP=(573, 445)
k=163, lambda=732, x3=536, y3=354, kP=(536, 354)
k=164, lambda=150, x3=182, y3=176, kP=(182, 176)
k=165, lambda=496, x3=254, y3=160, kP=(254, 160)
k=166, lambda=225, x3=51, y3=455, kP=(51, 455)
k=167, lambda=463, x3=280, y3=160, kP=(280, 160)
k=168, lambda=475, x3=42, y3=240, kP=(42, 240)
k=169, lambda=314, x3=170, y3=122, kP=(170, 122)
k=170, lambda=257, x3=539, y3=422, kP=(539, 422)
k=171, lambda=40, x3=307, y3=597, kP=(307, 597)
k=172, lambda=622, x3=560, y3=498, kP=(560, 498)
k=173, lambda=733, x3=512, y3=140, kP=(512, 140)
k=174, lambda=316, x3=209, y3=231, kP=(209, 231)
k=175, lambda=187, x3=211, y3=146, kP=(211, 146)
k=176, lambda=665, x3=423, y3=62, kP=(423, 62)
k=177, lambda=229, x3=196, y3=102, kP=(196, 102)
k=178, lambda=697, x3=464, y3=101, kP=(464, 101)
k=179, lambda=572, x3=32, y3=675, kP=(32, 675)
k=180, lambda=256, x3=164, y3=79, kP=(164, 79)
k=181, lambda=215, x3=247, y3=100, kP=(247, 100)
k=182, lambda=302, x3=83, y3=613, kP=(83, 613)
k=183, lambda=261, x3=445, y3=282, kP=(445, 282)
k=184, lambda=405, x3=610, y3=483, kP=(610, 483)
k=185, lambda=367, x3=398, y3=719, kP=(398, 719)
k=186, lambda=460, x3=168, y3=692, kP=(168, 692)
k=187, lambda=655, x3=33, y3=617, kP=(33, 617)
