259,214,512,453,"(0, 376)"
260,559,304,165,"(0, 376)"
261,150,417,158,"(0, 376)"
262,230,664,108,"(0, 376)"
263,357,617,149,"(0, 376)"
264,635,72,466,"(0, 376)"
265,189,352,686,"(0, 376)"
266,594,265,675,"(0, 376)"
267,174,722,164,"(0, 376)"
268,85,495,356,"(0, 376)"
269,622,375,686,"(0, 376)"
270,131,264,337,"(0, 376)"
271,162,446,219,"(0, 376)"
272,328,496,654,"(0, 376)"
273,155,248,236,"(0, 376)"
274,60,348,523,"(0, 376)"
275,732,13,622,"(0, 376)"
276,250,154,176,"(0, 376)"
277,145,594,610,"(0, 376)"
278,319,533,74,"(0, 376)"
279,401,305,483,"(0, 376)"
280,611,520,328,"(0, 376)"
281,127,589,672,"(0, 376)"
282,675,681,312,"(0, 376)"
283,709,332,50,"(0, 376)"
284,465,356,55,"(0, 376)"
285,132,546,399,"(0, 376)"
286,249,624,456,"(0, 376)"
287,366,405,92,"(0, 376)"
288,665,232,50,"(0, 376)"
289,523,684,119,"(0, 376)"
290,710,246,698,"(0, 376)"
291,99,543,690,"(0, 376)"
292,309,312,95,"(0, 376)"
293,170,50,136,"(0, 376)"
294,596,694,552,"(0, 376)"
295,379,257,602,"(0, 376)"
296,109,359,296,"(0, 376)"
297,460,210,654,"(0, 376)"
298,80,182,84,"(0, 376)"
299,312,283,697,"(0, 376)"
300,370,686,393,"(0, 376)"
301,485,227,677,"(0, 376)"
302,663,7,240,"(0, 376)"
303,517,677,332,"(0, 376)"
304,711,172,496,"(0, 376)"
305,350,666,85,"(0, 376)"
306,348,278,510,"(0, 376)"
307,222,191,29,"(0, 376)"
308,702,708,521,"(0, 376)"
309,311,636,92,"(0, 376)"
310,9,196,113,"(0, 376)"
311,355,412,560,"(0, 376)"
312,540,551,231,"(0, 376)"
313,395,17,419,"(0, 376)"
314,621,361,743,"(0, 376)"
315,648,485,13,"(0, 376)"
316,151,537,396,"(0, 376)"
317,35,688,327,"(0, 376)"
318,418,555,444,"(0, 376)"
319,720,406,194,"(0, 376)"
320,388,689,399,"(0, 376)"
321,254,743,154,"(0, 376)"
322,591,74,199,"(0, 376)"
323,434,532,44,"(0, 376)"
324,293,454,280,"(0, 376)"
325,281,403,533,"(0, 376)"
326,429,394,324,"(0, 376)"
327,667,654,488,"(0, 376)"
328,595,401,598,"(0, 376)"
329,583,36,415,"(0, 376)"
330,314,179,494,"(0, 376)"
331,244,28,302,"(0, 376)"
332,51,320,577,"(0, 376)"
333,585,200,531,"(0, 376)"
334,733,124,354,"(0, 376)"
335,448,63,689,"(0, 376)"
336,601,658,694,"(0, 376)"
337,578,733,265,"(0, 376)"
338,632,661,179,"(0, 376)"
339,361,488,692,"(0, 376)"
340,647,565,557,"(0, 376)"
341,318,676,193,"(0, 376)"
342,423,266,507,"(0, 376)"
343,280,30,236,"(0, 376)"
344,496,409,281,"(0, 376)"
345,42,604,541,"(0, 376)"
346,474,274,422,"(0, 376)"
347,351,514,201,"(0, 376)"
348,644,421,362,"(0, 376)"
349,173,219,38,"(0, 376)"
350,602,203,582,"(0, 376)"
351,112,325,23,"(0, 376)"
352,468,158,29,"(0, 376)"
353,668,723,304,"(0, 376)"
354,539,663,494,"(0, 376)"
355,84,385,328,"(0, 376)"
356,74,585,643,"(0, 376)"
357,582,189,23,"(0, 376)"
358,18,135,198,"(0, 376)"
359,71,400,513,"(0, 376)"
360,588,635,242,"(0, 376)"
361,40,214,76,"(0, 376)"
362,525,545,381,"(0, 376)"
363,689,295,641,"(0, 376)"
364,90,295,110,"(0, 376)"
365,689,545,370,"(0, 376)"
366,525,214,675,"(0, 376)"
367,40,635,509,"(0, 376)"
368,588,400,238,"(0, 376)"
369,71,135,553,"(0, 376)"
370,18,189,728,"(0, 376)"
371,582,585,108,"(0, 376)"
372,74,385,423,"(0, 376)"
373,84,663,257,"(0, 376)"
374,539,723,447,"(0, 376)"
375,668,158,722,"(0, 376)"
376,468,325,728,"(0, 376)"
377,112,203,169,"(0, 376)"
378,602,219,713,"(0, 376)"
379,173,421,389,"(0, 376)"
380,644,514,550,"(0, 376)"
381,351,274,329,"(0, 376)"
382,474,604,210,"(0, 376)"
383,42,409,470,"(0, 376)"
384,496,30,515,"(0, 376)"
385,280,266,244,"(0, 376)"
386,423,676,558,"(0, 376)"
387,318,565,194,"(0, 376)"
388,647,488,59,"(0, 376)"
389,361,661,572,"(0, 376)"
390,632,733,486,"(0, 376)"
391,578,658,57,"(0, 376)"
392,601,63,62,"(0, 376)"
393,448,124,397,"(0, 376)"
394,733,200,220,"(0, 376)"
395,585,320,174,"(0, 376)"
396,51,28,449,"(0, 376)"
397,244,179,257,"(0, 376)"
398,314,36,336,"(0, 376)"
399,583,401,153,"(0, 376)"
400,595,654,263,"(0, 376)"
401,667,394,427,"(0, 376)"
402,429,403,218,"(0, 376)"
403,281,454,471,"(0, 376)"
404,293,532,707,"(0, 376)"
405,434,74,552,"(0, 376)"
406,591,743,597,"(0, 376)"
407,254,689,352,"(0, 376)"
408,388,406,557,"(0, 376)"
409,720,555,307,"(0, 376)"
410,418,688,424,"(0, 376)"
411,35,537,355,"(0, 376)"
412,151,485,738,"(0, 376)"
413,648,361,8,"(0, 376)"
414,621,17,332,"(0, 376)"
415,395,551,520,"(0, 376)"
416,540,412,191,"(0, 376)"
417,355,196,638,"(0, 376)"
418,9,636,659,"(0, 376)"
419,311,708,230,"(0, 376)"
420,702,191,722,"(0, 376)"
421,222,278,241,"(0, 376)"
422,348,666,666,"(0, 376)"
423,350,172,255,"(0, 376)"
424,711,677,419,"(0, 376)"
425,517,7,511,"(0, 376)"
426,663,227,74,"(0, 376)"
427,485,686,358,"(0, 376)"
428,370,283,54,"(0, 376)"
429,312,182,667,"(0, 376)"
430,80,210,97,"(0, 376)"
431,460,359,455,"(0, 376)"
432,109,257,149,"(0, 376)"
433,379,694,199,"(0, 376)"
434,596,50,615,"(0, 376)"
435,170,312,656,"(0, 376)"
436,309,543,61,"(0, 376)"
437,99,246,53,"(0, 376)"
438,710,684,632,"(0, 376)"
439,523,232,701,"(0, 376)"
440,665,405,659,"(0, 376)"
441,366,624,295,"(0, 376)"
442,249,546,352,"(0, 376)"
443,132,356,696,"(0, 376)"
444,465,332,701,"(0, 376)"
445,709,681,439,"(0, 376)"
446,675,589,79,"(0, 376)"
447,127,520,423,"(0, 376)"
448,611,305,268,"(0, 376)"
449,401,533,677,"(0, 376)"
450,319,594,141,"(0, 376)"
451,145,154,575,"(0, 376)"
452,250,13,129,"(0, 376)"
453,732,348,228,"(0, 376)"
454,60,248,515,"(0, 376)"
455,155,496,97,"(0, 376)"
456,328,446,532,"(0, 376)"
457,162,264,414,"(0, 376)"
458,131,375,65,"(0, 376)"
459,622,495,395,"(0, 376)"
460,85,722,587,"(0, 376)"
461,174,265,76,"(0, 376)"
462,594,352,65,"(0, 376)"
463,189,72,285,"(0, 376)"
464,635,617,602,"(0, 376)"
465,357,664,643,"(0, 376)"
466,230,417,593,"(0, 376)"
467,150,304,586,"(0, 376)"
468,559,512,298,"(0, 376)"
469,214,224,503,"(0, 376)"
470,480,370,11,"(0, 376)"
471,476,155,193,"(0, 376)"
472,619,747,598,"(0, 376)"
473,320,268,229,"(0, 376)"
474,686,202,738,"(0, 376)"
475,671,190,555,"(0, 376)"
476,163,94,73,"(0, 376)"
477,580,609,125,"(0, 376)"
478,409,701,548,"(0, 376)"
479,327,337,573,"(0, 376)"
480,346,721,241,"(0, 376)"
481,380,238,55,"(0, 376)"
482,229,384,306,"(0, 376)"
483,301,97,467,"(0, 376)"
484,690,620,645,"(0, 376)"
485,147,712,100,"(0, 376)"
486,527,649,57,"(0, 376)"
487,305,3,211,"(0, 376)"
488,696,18,614,"(0, 376)"
489,347,231,575,"(0, 376)"
490,417,177,164,"(0, 376)"
491,631,705,112,"(0, 376)"
492,169,69,730,"(0, 376)"
493,299,714,173,"(0, 376)"
494,655,241,230,"(0, 376)"
495,713,452,278,"(0, 376)"
496,681,693,70,"(0, 376)"
497,575,243,336,"(0, 376)"
498,142,395,610,"(0, 376)"
499,12,500,383,"(0, 376)"
500,365,549,507,"(0, 376)"
501,531,538,77,"(0, 376)"
502,629,77,6,"(0, 376)"
503,161,310,31,"(0, 376)"
504,11,562,201,"(0, 376)"
505,140,263,354,"(0, 376)"
506,354,387,59,"(0, 376)"
507,201,211,20,"(0, 376)"
508,340,486,355,"(0, 376)"
509,394,44,312,"(0, 376)"
510,613,225,634,"(0, 376)"
511,642,391,187,"(0, 376)"
512,545,740,362,"(0, 376)"
513,684,745,724,"(0, 376)"
514,693,366,575,"(0, 376)"
515,651,622,242,"(0, 376)"
516,688,343,205,"(0, 376)"
517,271,251,695,"(0, 376)"
518,103,595,672,"(0, 376)"
519,441,128,252,"(0, 376)"
520,398,566,407,"(0, 376)"
521,694,430,102,"(0, 376)"
522,181,38,256,"(0, 376)"
523,234,646,162,"(0, 376)"
524,188,152,337,"(0, 376)"
525,479,234,188,"(0, 376)"
526,410,393,710,"(0, 376)"
527,62,447,448,"(0, 376)"
528,731,704,186,"(0, 376)"
529,36,592,91,"(0, 376)"
530,186,209,553,"(0, 376)"
531,26,467,249,"(0, 376)"
532,93,672,212,"(0, 376)"
533,639,607,18,"(0, 376)"
534,451,24,65,"(0, 376)"
535,519,479,355,"(0, 376)"
536,544,314,36,"(0, 376)"
537,726,311,640,"(0, 376)"
538,450,170,477,"(0, 376)"
539,703,632,671,"(0, 376)"
540,332,697,279,"(0, 376)"
541,572,553,230,"(0, 376)"
542,289,358,551,"(0, 376)"
543,741,493,48,"(0, 376)"
544,304,301,493,"(0, 376)"
545,195,174,240,"(0, 376)"
546,638,579,465,"(0, 376)"
547,554,680,657,"(0, 376)"
548,673,147,576,"(0, 376)"
549,313,192,359,"(0, 376)"
550,747,575,422,"(0, 376)"
551,691,21,133,"(0, 376)"
552,203,634,94,"(0, 376)"
553,272,503,241,"(0, 376)"
554,264,101,747,"(0, 376)"
555,197,407,553,"(0, 376)"
556,399,333,435,"(0, 376)"
557,246,103,571,"(0, 376)"
558,330,653,422,"(0, 376)"
559,444,472,336,"(0, 376)"
560,700,627,59,"(0, 376)"
561,372,324,7,"(0, 376)"
562,729,160,140,"(0, 376)"
563,543,297,569,"(0, 376)"
564,385,732,180,"(0, 376)"
565,287,529,254,"(0, 376)"
566,623,84,613,"(0, 376)"
567,727,492,167,"(0, 376)"
568,53,64,738,"(0, 376)"
569,123,45,97,"(0, 376)"
570,144,414,88,"(0, 376)"
